state,per_100000
Mississippi,1.9343153999672185
Louisiana,1.4961097893065445
Alabama,1.0222601070070427
South Carolina,0.9440686526724223
South Dakota,0.8816126458517921
Alaska,0.8155431653405029
Georgia,0.8134980718724633
Tennessee,0.8066361531776582
Oklahoma,0.7943139039187973
Arkansas,0.7870423963342188
New Mexico,0.7546294156432791
Missouri,0.7429163731339475
Indiana,0.7298126877351913
Montana,0.7162842753217683
Texas,0.6625056014848605
Kentucky,0.6615471736058555
North Dakota,0.6370717126144021
Kansas,0.6107498073593316
Ohio,0.584236140458158
North Carolina,0.5684781299939872
West Virginia,0.5623117310035634
Iowa,0.5295113824701208
Wisconsin,0.5071960982418554
Michigan,0.5060647895896717
Arizona,0.5014339656189769
Florida,0.4728748924265383
Utah,0.4716520881954031
Idaho,0.46529373993802287
District of Columbia,0.4403385322636043
Pennsylvania,0.4224711968739589
Illinois,0.4174938427535436
Nevada,0.4082129942360325
Virginia,0.4020599253087533
Wyoming,0.34340836233703126
Colorado,0.32411101040925155
Minnesota,0.31361917397936556
Washington,0.281469722301972
Nebraska,0.25269026692683655
Maine,0.21616682891188105
Maryland,0.19336092056556134
New York,0.1813385870480123
Connecticut,0.16553970911362315
Vermont,0.15453418759832238
Hawaii,0.1383857988493221
California,0.10181387268485753
Delaware,0.09792487399516839
Oregon,0.0940226730975041
Rhode Island,0.09076049123208274
Massachusetts,0.08517819846974528
New Hampshire,0.07169137151329015
New Jersey,0.06421364135332817
